,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
20,30/06/2019,"R$ 65,00 B","R$ 52,36 B","R$ 6,23",2.889.840.000,5.520.977.000,5.520.977.000,8.410.817.000,2.000,0,0,2.000,2.889.838.000,5.520.977.000,8.410.815.000,3
21,31/03/2019,"R$ 62,14 B","R$ 50,40 B","R$ 5,99",2.889.840.000,5.520.858.000,5.520.858.000,8.410.698.000,0,0,0,0,2.889.840.000,5.520.858.000,8.410.698.000,3
22,31/12/2018,"R$ 66,21 B","R$ 55,14 B","R$ 6,56",2.889.840.000,5.520.858.000,5.520.858.000,8.410.698.000,0,0,0,0,2.889.840.000,5.520.858.000,8.410.698.000,3
23,30/09/2018,"R$ 63,88 B","R$ 52,69 B","R$ 6,26",2.889.840.000,5.524.358.000,5.524.358.000,8.414.198.000,0,3.500.000,3.500.000,3.500.000,2.889.840.000,5.520.858.000,8.410.698.000,3
24,30/06/2018,"R$ 62,76 B","R$ 51,08 B","R$ 6,07",2.889.840.000,5.524.358.000,5.524.358.000,8.414.198.000,0,2.500.000,2.500.000,2.500.000,2.889.840.000,5.521.858.000,8.411.698.000,3
25,31/03/2018,"R$ 63,22 B","R$ 51,66 B","R$ 6,91",2.823.484.000,4.650.146.000,4.650.146.000,7.473.630.000,0,0,0,0,2.823.484.000,4.650.146.000,7.473.630.000,3
26,31/12/2017,"R$ 58,25 B","R$ 47,80 B","R$ 6,46",2.828.112.000,4.575.177.000,4.575.177.000,7.403.289.000,0,0,0,0,2.828.112.000,4.575.177.000,7.403.289.000,3
27,30/09/2017,"R$ 59,02 B","R$ 47,73 B","R$ 6,42",2.854.931.000,4.575.177.000,4.575.177.000,7.430.108.000,26.819.000,0,0,26.819.000,2.828.112.000,4.575.177.000,7.403.289.000,3
28,30/06/2017,"R$ 57,89 B","R$ 47,93 B","R$ 6,45",2.854.931.000,4.575.177.000,4.575.177.000,7.430.108.000,26.819.000,0,0,26.819.000,2.828.112.000,4.575.177.000,7.403.289.000,3
29,31/03/2017,"R$ 56,74 B","R$ 46,62 B","R$ 6,27",2.854.931.000,4.575.177.000,4.575.177.000,7.430.108.000,0,0,0,0,2.854.931.000,4.575.177.000,7.430.108.000,3
30,31/12/2016,"R$ 54,02 B","R$ 45,11 B","R$ 6,67",2.597.547.000,4.161.252.000,4.161.252.000,6.758.799.000,2.155.000,2.000.000,2.000.000,4.155.000,2.595.392.000,4.159.252.000,6.754.644.000,3
