,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
50,31/12/2011,"R$ 8,69 M","R$ 1,46 M","- R$ 21,51 M","- R$ 552,00 mil","- R$ 20,96 M","- R$ 33,24 M","- R$ 0,52",94
51,30/09/2011,"R$ 13,15 M","R$ 1,89 M","- R$ 11,66 M","- R$ 196,00 mil","- R$ 11,46 M","- R$ 24,03 M","- R$ 0,38",94
52,30/06/2011,"R$ 22,88 M","R$ 3,90 M","- R$ 1,86 M","- R$ 351,00 mil","- R$ 1,51 M","- R$ 13,80 M","- R$ 0,22",94
53,31/03/2011,"R$ 28,32 M","R$ 6,15 M","R$ 1,06 M","- R$ 262,00 mil","R$ 1,33 M","- R$ 10,84 M","- R$ 0,17",94
54,31/12/2010,"R$ 33,67 M","R$ 8,00 M","R$ 3,65 M","- R$ 427,00 mil","R$ 4,08 M","- R$ 6,49 M","- R$ 0,13",94
55,30/09/2010,"R$ 39,49 M","R$ 9,80 M","R$ 8,44 M",,,"R$ 19,90 M","R$ 0,39",94
56,30/06/2010,"R$ 37,27 M","R$ 9,13 M","R$ 6,60 M",,,"R$ 18,61 M","R$ 0,36",94
57,31/03/2010,"R$ 32,24 M","R$ 7,88 M","R$ 4,86 M",,,"R$ 17,48 M","R$ 1,36",94
58,31/12/2009,"R$ 26,37 M","R$ 5,92 M","- R$ 24,94 M",,,"- R$ 7,50 M","- R$ 0,59",94
59,30/09/2009,"R$ 23,12 M","R$ 3,34 M","R$ 1,14 M",,,"R$ 1,52 M","R$ 0,17",94
60,30/06/2009,"R$ 23,38 M","R$ 3,68 M","R$ 2,21 M",,,"R$ 3,36 M","R$ 0,37",94
61,31/03/2009,"R$ 27,72 M","R$ 5,52 M","R$ 3,40 M",,,"R$ 5,73 M","R$ 0,63",94
62,31/12/2008,"R$ 28,36 M","R$ 6,83 M","- R$ 274,00 mil",,,"R$ 950,00 mil","R$ 0,10",94
63,30/09/2008,"R$ 23,62 M","R$ 5,99 M","- R$ 3,48 M",,,"- R$ 5,59 M","- R$ 0,83",94
64,30/06/2008,"R$ 18,54 M","R$ 4,61 M","- R$ 5,43 M",,,"- R$ 8,02 M","- R$ 1,19",94
65,31/03/2008,"R$ 9,76 M","R$ 1,65 M","- R$ 7,33 M",,,"- R$ 10,27 M","- R$ 0,00",94
66,31/12/2007,"R$ 5,52 M","R$ 313,00 mil","- R$ 7,47 M",,,"- R$ 11,84 M","- R$ 0,00",94
67,30/09/2007,"R$ 2,75 M","- R$ 17,00 mil","- R$ 16,24 M",,,"- R$ 16,63 M","- R$ 0,00",94
68,30/06/2007,"R$ 770,00 mil","- R$ 588,00 mil","- R$ 15,66 M",,,"- R$ 15,74 M","- R$ 0,00",94
69,31/03/2007,"R$ 220,00 mil","- R$ 657,00 mil","- R$ 16,29 M",,,"- R$ 16,40 M","- R$ 0,00",94
70,31/12/2006,"R$ 687,00 mil","- R$ 647,00 mil","- R$ 16,14 M",,,"- R$ 17,63 M","- R$ 0,00",94
71,30/09/2006,"R$ 1,81 M","- R$ 1,09 M","- R$ 13,72 M",,,"- R$ 16,21 M","- R$ 0,00",94
72,30/06/2006,"R$ 7,85 M","R$ 1,54 M","- R$ 13,60 M",,,"- R$ 16,42 M","- R$ 0,00",94
73,31/03/2006,"R$ 13,09 M","R$ 2,82 M","- R$ 13,66 M",,,"- R$ 16,64 M","- R$ 0,00",94
74,31/12/2005,"R$ 17,46 M","R$ 4,35 M","- R$ 10,23 M",,,"- R$ 12,19 M","- R$ 0,00",94
75,30/09/2005,"R$ 19,76 M","R$ 6,03 M","- R$ 10,01 M",,,"- R$ 11,87 M","- R$ 0,00",94
76,30/06/2005,"R$ 19,25 M","R$ 5,73 M","- R$ 12,15 M",,,"- R$ 13,73 M","- R$ 0,00",94
77,31/03/2005,"R$ 20,37 M","R$ 6,24 M","- R$ 13,62 M",,,"- R$ 15,52 M","- R$ 0,00",94
78,31/12/2004,"R$ 25,35 M","R$ 11,67 M","- R$ 10,83 M",,,"- R$ 18,31 M","- R$ 0,00",94
79,30/09/2004,"R$ 33,42 M","R$ 14,50 M","R$ 8,09 M",,,"R$ 1,37 M","R$ 0,00",94
