,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
46,31/12/2012,"R$ 4,27 B","R$ 2,61 B","R$ 8,36",311.803.015,0,0,311.803.015,1.159.035,0,0,1.159.035,310.643.980,0,310.643.980,153
47,30/09/2012,"R$ 4,27 B","R$ 2,63 B","R$ 8,43",311.803.015,0,0,311.803.015,1.159.035,0,0,1.159.035,310.643.980,0,310.643.980,153
48,30/06/2012,"R$ 4,20 B","R$ 2,60 B","R$ 8,34",311.803.015,0,0,311.803.015,1.159.035,0,0,1.159.035,310.643.980,0,310.643.980,153
49,31/03/2012,"R$ 4,21 B","R$ 2,58 B","R$ 8,27",311.803.015,0,0,311.803.015,1.159.035,0,0,1.159.035,310.643.980,0,310.643.980,153
50,31/12/2011,"R$ 4,28 B","R$ 2,54 B","R$ 8,15",311.803.015,0,0,311.803.015,1.159.035,0,0,1.159.035,310.643.980,0,310.643.980,153
51,30/09/2011,"R$ 4,13 B","R$ 2,53 B","R$ 8,12",311.803.015,0,0,311.803.015,1.159.035,0,0,1.159.035,310.643.980,0,310.643.980,153
52,30/06/2011,"R$ 4,05 B","R$ 2,52 B","R$ 8,07",311.803.015,0,0,311.803.015,459.035,0,0,459.035,311.343.980,0,311.343.980,153
53,31/03/2011,"R$ 4,02 B","R$ 2,49 B","R$ 7,99",311.803.015,0,0,311.803.015,459.035,0,0,459.035,311.343.980,0,311.343.980,153
54,31/12/2010,"R$ 1,94 B","R$ 614,89 M","R$ 2,68",229.611.740,0,0,229.611.740,459.035,0,0,459.035,229.152.705,0,229.152.705,153
55,30/09/2010,"R$ 1,70 B","R$ 674,56 M","R$ 2,94",229.612.000,0,0,229.612.000,459.000,0,0,459.000,229.153.000,0,229.153.000,153
56,30/06/2010,"R$ 1,66 B","R$ 623,29 M","R$ 2,71",229.612.000,0,0,229.612.000,459.000,0,0,459.000,229.153.000,0,229.153.000,153
57,31/03/2010,"R$ 1,61 B","R$ 572,49 M","R$ 2,49",229.612.000,0,0,229.612.000,0,0,0,0,229.612.000,0,229.612.000,153
58,31/12/2009,"R$ 1,62 B","R$ 539,19 M","R$ 9,39",57.403.000,0,0,57.403.000,0,0,0,0,57.403.000,0,57.403.000,153
59,30/09/2009,"R$ 1,64 B","R$ 532,80 M","R$ 9,28",57.403.000,0,0,57.403.000,0,0,0,0,57.403.000,0,57.403.000,153
60,30/06/2009,"R$ 1,71 B","R$ 517,83 M","R$ 9,02",57.403.000,0,0,57.403.000,0,0,0,0,57.403.000,0,57.403.000,153
61,31/03/2009,"R$ 1,84 B","R$ 512,68 M","R$ 8,93",57.403.000,0,0,57.403.000,0,0,0,0,57.403.000,0,57.403.000,153
62,31/12/2008,"R$ 1,85 B","R$ 478,90 M","R$ 8,34",57.403.000,0,0,57.403.000,0,0,0,0,57.403.000,0,57.403.000,153
63,30/09/2008,"R$ 1,78 B","R$ 515,80 M","R$ 8,99",57.403.000,0,0,57.403.000,0,0,0,0,57.403.000,0,57.403.000,153
64,30/06/2008,"R$ 1,66 B","R$ 531,15 M","R$ 9,25",57.403.000,0,0,57.403.000,0,0,0,0,57.403.000,0,57.403.000,153
65,31/03/2008,"R$ 1,26 B","R$ 520,63 M","R$ 9,07",57.403.000,0,0,57.403.000,0,0,0,0,57.403.000,0,57.403.000,153
66,31/12/2007,"R$ 1,22 B","R$ 512,38 M","R$ 8,93",57.403.000,0,0,57.403.000,0,0,0,0,57.403.000,0,57.403.000,153
67,30/09/2007,"R$ 1,15 B","R$ 534,49 M","R$ 9,31",57.403.000,0,0,57.403.000,0,0,0,0,57.403.000,0,57.403.000,153
68,30/06/2007,"R$ 1,08 B","R$ 526,68 M","R$ 9,18",57.403.000,0,0,57.403.000,0,0,0,0,57.403.000,0,57.403.000,153
69,31/03/2007,"R$ 1,06 B","R$ 518,19 M","R$ 9,03",57.403.000,0,0,57.403.000,0,0,0,0,57.403.000,0,57.403.000,153
70,31/12/2006,"R$ 1,02 B","R$ 469,21 M","R$ 8,17",57.403.000,0,0,57.403.000,0,0,0,0,57.403.000,0,57.403.000,153
71,30/09/2006,"R$ 1,01 B","R$ 468,05 M","R$ 8,15",57.403.000,0,0,57.403.000,0,0,0,0,57.403.000,0,57.403.000,153
72,30/06/2006,"R$ 981,09 M","R$ 453,24 M","R$ 7,90",57.403.000,0,0,57.403.000,0,0,0,0,57.403.000,0,57.403.000,153
73,31/03/2006,"R$ 761,68 M","R$ 423,93 M","R$ 7,45",56.908.000,0,0,56.908.000,0,0,0,0,56.908.000,0,56.908.000,153
74,31/12/2005,"R$ 593,39 M","R$ 265,98 M","R$ 4,96",53.608.000,0,0,53.608.000,0,0,0,0,53.608.000,0,53.608.000,153
75,30/09/2005,"R$ 573,27 M","R$ 270,65 M","R$ 5,05",53.608.000,0,0,53.608.000,0,0,0,0,53.608.000,0,53.608.000,153
76,30/06/2005,"R$ 556,47 M","R$ 260,61 M","R$ 4,86",53.608.000,0,0,53.608.000,0,0,0,0,53.608.000,0,53.608.000,153
77,31/03/2005,"R$ 541,36 M","R$ 252,73 M","R$ 4,71",53.608.000,0,0,53.608.000,0,0,0,0,53.608.000,0,53.608.000,153
78,31/12/2004,"R$ 531,60 M","R$ 244,26 M","R$ 4,56",53.608.000,0,0,53.608.000,0,0,0,0,53.608.000,0,53.608.000,153
79,30/09/2004,"R$ 430,72 M","R$ 127,78 M","R$ 2,70",47.301.000,0,0,47.301.000,0,0,0,0,47.301.000,0,47.301.000,153
80,30/06/2004,"R$ 413,53 M","R$ 118,73 M","R$ 25,10",3.428.000,1.302.000,1.302.000,4.730.000,0,0,0,0,3.428.000,1.302.000,4.730.000,153
81,31/03/2004,"R$ 375,05 M","R$ 140,85 M","R$ 29,78",3.428.000,1.302.000,1.302.000,4.730.000,0,0,0,0,3.428.000,1.302.000,4.730.000,153
82,31/12/2003,"R$ 354,72 M","R$ 134,59 M","R$ 28,45",3.428.000,1.302.000,1.302.000,4.730.000,0,0,0,0,3.428.000,1.302.000,4.730.000,153
