,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
22,31/12/2018,"R$ 1,58 B","R$ 509,07 M","R$ 25,17 M","- R$ 79,92 M","R$ 105,09 M","R$ 7,89 M","R$ 0,05",178
23,30/09/2018,"R$ 1,57 B","R$ 511,61 M","R$ 27,09 M","- R$ 79,28 M","R$ 106,37 M","- R$ 6,54 M","- R$ 0,04",178
24,30/06/2018,"R$ 1,53 B","R$ 488,12 M","R$ 30,58 M","- R$ 77,70 M","R$ 108,27 M","R$ 2,04 M","R$ 0,01",178
25,31/03/2018,"R$ 1,51 B","R$ 476,67 M","R$ 34,50 M","- R$ 78,65 M","R$ 113,15 M","R$ 14,32 M","R$ 0,09",178
26,31/12/2017,"R$ 1,49 B","R$ 465,58 M","R$ 28,80 M","- R$ 81,73 M","R$ 110,53 M","R$ 3,67 M","R$ 0,02",178
27,30/09/2017,"R$ 1,49 B","R$ 457,71 M","- R$ 11,49 M","- R$ 86,21 M","R$ 74,72 M","- R$ 45,51 M","- R$ 0,27",178
28,30/06/2017,"R$ 1,49 B","R$ 452,93 M","- R$ 27,53 M","- R$ 89,31 M","R$ 61,78 M","- R$ 55,43 M","- R$ 0,33",178
29,31/03/2017,"R$ 1,50 B","R$ 458,44 M","- R$ 46,95 M","- R$ 92,14 M","R$ 45,18 M","- R$ 70,09 M","- R$ 0,42",178
30,31/12/2016,"R$ 1,54 B","R$ 472,41 M","- R$ 49,07 M","- R$ 95,45 M","R$ 46,38 M","- R$ 76,43 M","- R$ 0,46",178
31,30/09/2016,"R$ 1,59 B","R$ 486,66 M","- R$ 63,14 M","- R$ 97,93 M","R$ 34,79 M","- R$ 80,88 M","- R$ 0,49",178
32,30/06/2016,"R$ 1,62 B","R$ 497,22 M","- R$ 73,23 M","- R$ 105,08 M","R$ 31,85 M","- R$ 104,10 M","- R$ 0,63",178
33,31/03/2016,"R$ 1,64 B","R$ 488,93 M","- R$ 80,54 M","- R$ 107,38 M","R$ 26,84 M","- R$ 122,78 M","- R$ 0,74",178
