,Ticker,Nome
207,BBFO11,BB FUNDO DE FUNDOS
208,HSAF11,HSI ATIVOS FINANCEIROS
209,OULG11,OURINVEST LOGÍSTICA
210,PQDP11,PARQUE DOM PEDRO SHOPPING CENTER
211,OGIN11,ÓRAMA FIC FI-Infra
212,GRWA11,GREENWICH AGRO FIAGRO
213,IAGR11,SFI Investimentos do Agronegócio
214,FLMA11,CONTINENTAL SQUARE FARIA LIMA
215,AZIN11,AZ Quest Infra-Yield II FIP-IE
216,IAAG11,INTER AMERRA - FIAGRO
217,RBLG11,RB CAPITAL LOGÍSTICO
218,RBRD11,RB CAPITAL RENDA II
219,FLCR11,FARIA LIMA CAPITAL RECEBÍVEIS IMOBILIÁRIOS I
220,NSLU11,HOSPITAL NOSSA SENHORA DE LOURDES
221,CNES11,CENESP
222,VGRI11,VALORA RENDA IMOB FUNDO DE INVES IMOB
223,ITIT11,INTER TEVE INDICE DE TIJOLO
224,HREC11,HEDGE RECEBÍVEIS
225,IDFI11,UNIDADES AUTÔNOMAS
226,CLIN11,CLAVE ÍNDICES DE PREÇOS
227,RINV11,REAL INVESTOR
228,CXCI11,CAIXA CARTEIRA IMOBILIÁRIA
229,LASC11,LEGATUS SHOPPINGS
230,RELG11,REC LOGÍSTICA
231,RNGO11,RIO NEGRO
232,BLCA11,BLUEMACAW CATUAÍ TRIPLE A
233,GCRI11,GALAPAGOS RECEBÍVEIS IMOBILIÁRIOS
234,CXCE11B,CAIXA CEDAE (OLD)
235,GTLG11,GTIS BRAZIL LOGISTICS
236,CXCE11,CAIXA CEDAE
237,CEOC11,CYRELA COMMERCIAL PROPERTIES
238,INRD11,Inter Residence
239,BMLC11,BM BRASCAN LAJES CORPORATIVAS
240,IRIM11,IRIDIUM
241,SNFZ11,SUNO FAZENDAS FIAGRO – IMOBILIÁRIO
242,DVFF11,DEVANT FOF IMOBILIÁRIOS
243,BRIM11,BRIO REAL ESTATE II
244,RBOP11,RIO BRAVO OPORTUNIDADES IMOBILIÁRIAS FII
245,FIIP11B,RB CAPITAL RENDA I
246,BTHI11,BTG PACTUAL HOTÉIS FII
247,LUGG11,LUGGO FDO INV IMOB (OLD)
248,ERCR11,ESTOQUE RESIDENCIAL E COMERCIAL RJ
249,SCPF11,SCP
250,HGBL11,HEDGE BRASIL LOGÍSTICO IND FUND INV IMOB RESP LIM
251,NEWU11,NEWPORT RENDA URBANA
252,SNME11,SUNO MULTIESTRATÉGIA
253,NUIF11,NU FI-INFRA
254,GZIT11,GAZIT MALLS
255,PFIN11,PERFIN APOLLO ENERGIA FIP EM INFRAESTRUTURA
256,XPID11,XP INFRA DEBÊNTURES
257,HLOG11,HEDGE LOGÍSTICA
258,JFLL11,JFL LIVING FDO. INV. IMOB.
259,TRXB11,TRX REAL ESTATE II
260,BRIP11,BRIO REAL ESTATE III
261,HSRE11,HSI RENDA IMOBILIÁRIA
262,HBCR11,HBC RENDA URBANA
263,RRCI11,RB CAPITAL RECEBÍVEIS IMOBILIÁRIOS
264,FLRP11,FLORIPA SHOPPING
265,XPIE11,XP INFRA II FDO DE INV PART IE
266,ITIP11,INTER TEVA INDICE DE PAPEL
267,ICRI11,ITAÚ CRÉDITO IMOBILIÁRIO IPCA
268,SHPH11,SHOPPING PÁTIO HIGIENÓPOLIS
269,FZDA11,051 AGRO
270,TCPF11,TREECORP REAL ESTATE
271,CCME11,CANUMA CAPITAL MULTIESTRATÉGIA
272,RNDP11,BB RENDA DE PAPÉIS IMOBILIÁRIOS
273,XPHT12,XP HOTÉIS (COTA ORDINÁRIA)
274,BRZP11,"BRZ INFRA PORTOS FDO, INV. EM PART. INFRAESTRUTURA"
275,LPLP11,LAGO DA PEDRA
276,IFRI11,ITAÚ FIC FI INVEST FINAN INFRA CDI RF CP
277,PQAG11,PARQUE ANHANGUERA
278,RBIF11,RIO BRAVO ESG
279,TSER11,TISHMAN SPEYER RENDA CORPORATIVA
280,EVBI11,VBI CONSUMO ESSENCIAL
281,VSEC11,VOTORANTIM SECURITIES
282,EDGA11,EDIFÍCIO GALERIA
283,RPRI11,RBR Premium Recebíveis Imobiliários
284,HOSI11,HOUSI
285,RBTS11,RB CAPITAL TFO SITUS
286,AROA11,AROEIRA 333 RENDA LOGÍSTICA
287,RFOF11,RB CAPITAL I FUNDO DE FUNDOS
288,CRFF11,CAIXA RIO BRAVO FUNDO DE FUNDOS
289,FIVN11,VIDA NOVA
290,VVCO11,V2 EDIFÍCIOS CORPORATIVOS
291,GLOG11,PLURAL LOGÍSTICA FDO. INV. IMOB.
292,CBOP11,CASTELLO BRANCO OFFICE PARK
293,VERE11,VEREDA
294,HUSC11,HOSPITAL UNIMED SUL CAPIXABA
295,FCFL11,CAMPUS FARIA LIMA
296,WPLZ11,SHOPPING WEST PLAZA
297,CXTL11,CAIXA TRX LOGÍSTICA RENDA
298,CXRI11,CAIXA RIO BRAVO
299,VRTM11,FATOR VERITÀ MULTIESTRATÉGIA
300,NVIF11B,NOVA I
301,MFCR11,MÉRITO RECEBÍVEIS IMOBILIÁRIOS
302,VPSI11,POLO SHOPPING INDAIATUBA
303,PPEI11,PRISMA PROTON ENERGIA
304,HCHG11,HECTARE RECEBÍVEIS HIGH GRADE
305,DPRO11,DEVANT PROPERTIES
306,HUCG11,HOSPITAL UNIMED CAMPINA GRANDE
307,RMAI11,REAG MULTI ATIVOS IMOBILIÁRIOS
308,ITRI11,ITAÚ TOTAL RETURN FII
309,VOTS11,VOTORANTIM SECURITIES MASTER
310,TJKB11,TJK RENDA IMOBILIÁRIA
311,KNOX11,KNOX DEBT FDO. INVEST. PART. INFRAESTRUTURA
312,PEMA11,PERFORMA REAL ESTATE
313,NCRI11,NAVI CRÉDITO IMOBILIÁRIO
314,HPDP11,HEDGE SHOPPING PARQUE DOM PEDRO
315,ELDO11B,ELDORADO
316,DAMT11B,DIAMANTE
317,FPAB11,PROJETO ÁGUA BRANCA
318,PLRI11,POLO RECEBÍVEIS IMOBILIÁRIOS I
319,KOPA11,KINEA OPORTUNIDADES AGRO I
320,MFAI11,MERITO FUNDOS E AÇÕES IMOBILIÁRIAS
321,PBLV11,PROLOGIS BRAZIL LOGISTICS VENTURE
322,EXES11,EXES
323,HBRH11,MULTI RENDA URBANA
324,BICR11,INTER TÍTULOS IMOBILIÁRIOS
325,HUSI11,HUSI
326,TMPS11,ITAÚ TEMPUS
327,HRDF11,HEDGE REALTY DEVELOPMENT
328,RBRM11,RBR DESENVOLVIMENTO
329,DRIT11B,MULTIGESTÃO RENDA COMERCIAL
330,HGIC11,HGI CRÉDITOS IMOBILIÁRIOS
331,BTSG11,BTSP I
332,VVPR11,V2 PROPERTIES
333,FPNG11,PEDRA NEGRA RENDA IMOBILIÁRIA
334,RBIR11,RB CAPITAL DESENVOLVIMENTO RESIDENCIAL IV
335,VLOL11,VILA OLÍMPIA CORPORATE
336,FINF11,INFRA REAL STATE
337,BRLA11,BRL PROP II
338,GCFF11,GALAPAGOS FUNDO DE FUNDOS
339,RBBV11,JHSF RIO BRAVO FAZENDA BOA VISTA CAPITAL PROTEGIDO
340,SAPI11,SANTANDER PAPÉIS IMOBILIÁRIOS
341,GESE11B,GENERAL SEVERIANO
342,HDEL11,HEDGE DESENVOLVIMENTO LOGÍSTICO FII
343,BLCP11,BLUECAP RENDA LOGÍSTICA
344,EGYR11,ENERGY RESORT
345,KEVE11,EVEN II KINEA
346,CPOF11,CAPITÂNIA OFFICE FII - FDO DE INV IMOB
347,RBRS11,RIO BRAVO RENDA RESIDENCIAL
348,VVRI11,V2 RENDA IMOBILIÁRIA FDO DE INV IMOB
349,RBDS11,RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II
350,QAMI11,QUASAR CRÉDITO IMOBILIÁRIO
351,REIT11,SINGULARE
352,RECX11,REC FUNDO DE FUNDOS
353,HAAA11,HEDGE AAA
354,OGHY11,ÓRAMA HIGH YIELD FDO INV IMOB
355,MCFF11,MAUÁ CAPITAL FOF
356,BICE11,BRIO CRÉDITO ESTRUTURADO
357,FAMB11B,EDIFÍCIO ALMIRANTE BARROSO
358,BREV11,BRAZIL REAL ESTATE VICTORY FUND I
359,CTXT11,CENTRO TÊXTIL INTERNACIONAL
360,MCEM11,MÉRITO CEMITÉRIOS
361,RTEL11,BRC - II FII
362,WSEC11,WARREN SECURITIES
363,EDFO11,EDIFÍCIO OUROINVEST
364,CJCT11,CIDADE JARDIM CONTINENTAL TOWER
365,PICE11,PÁTRIA INFRAESTRUTURA ENERGIA
366,PNCR11,PANORAMA CRÉDITO RESIDENCIAL FII
367,PMIS11,Paramis Hedge Fund
368,JASC11,JASC RENDA VAREJO
369,SMRE11,SMART REAL ESTATE
370,SIGR11,SIG CAPITAL RECEBÍVEIS PULVERIZADOS
