,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
82,31/12/2003,"R$ 77,06 M","R$ 17,72 M","R$ 0,06",130.372.229,177.823.303,177.823.303,308.195.532,0,0,0,0,130.372.229,177.823.303,308.195.532,305
83,30/09/2003,"R$ 72,79 M","R$ 17,59 M","R$ 0,06",130.372.229,177.823.303,177.823.303,308.195.532,0,0,0,0,130.372.229,177.823.303,308.195.532,305
84,30/06/2003,"R$ 73,65 M","R$ 15,42 M","R$ 0,05",130.372.229,177.823.303,177.823.303,308.195.532,0,0,0,0,130.372.229,177.823.303,308.195.532,305
85,31/03/2003,"R$ 77,75 M","R$ 11,99 M","R$ 0,04",130.372.229,177.823.303,177.823.303,308.195.532,0,0,0,0,130.372.229,177.823.303,308.195.532,305
86,31/12/2002,"R$ 78,06 M","R$ 13,33 M","R$ 0,04",130.372.229,177.823.303,177.823.303,308.195.532,0,0,0,0,130.372.229,177.823.303,308.195.532,305
87,30/09/2002,"R$ 68,07 M","R$ 9,38 M","R$ 0,03",130.372.229,177.823.303,177.823.303,308.195.532,0,0,0,0,130.372.229,177.823.303,308.195.532,305
88,30/06/2002,"R$ 70,82 M","R$ 11,58 M","R$ 0,04",130.372.229,177.823.303,177.823.303,308.195.532,0,0,0,0,130.372.229,177.823.303,308.195.532,305
89,31/03/2002,"R$ 63,08 M","R$ 14,90 M","R$ 0,05",201.747.054,124.125.736,124.125.736,325.872.790,0,0,0,0,201.747.054,124.125.736,325.872.790,305
90,31/12/2001,"R$ 61,62 M","R$ 19,52 M","R$ 0,06",206.747.054,135.625.736,135.625.736,342.372.790,5.000.000,11.500.000,11.500.000,16.500.000,201.747.054,124.125.736,325.872.790,305
91,30/09/2001,"R$ 53,47 M","R$ 18,27 M","R$ 0,05",216.147.000,144.476.000,144.476.000,360.623.000,9.400.000,8.850.000,8.850.000,18.250.000,206.747.000,135.626.000,342.373.000,305
92,31/03/2001,"R$ 54,16 M","R$ 19,80 M","R$ 0,05",216.147.000,144.476.000,144.476.000,360.623.000,0,20.000.000,20.000.000,20.000.000,216.147.000,124.476.000,340.623.000,305
93,31/12/2000,"R$ 52,43 M","R$ 22,20 M","R$ 0,06",216.147.054,144.475.736,144.475.736,360.622.790,0,0,0,0,216.147.054,144.475.736,360.622.790,305
94,30/09/2000,"R$ 49,48 M","R$ 22,33 M","R$ 0,06",216.147.000,144.476.000,144.476.000,360.623.000,0,0,0,0,216.147.000,144.476.000,360.623.000,305
95,30/06/2000,"R$ 51,34 M","R$ 22,43 M","R$ 0,06",216.147.000,144.476.000,144.476.000,360.623.000,0,0,0,0,216.147.000,144.476.000,360.623.000,305
96,31/03/2000,"R$ 54,15 M","R$ 25,54 M","R$ 0,07",216.147.000,144.476.000,144.476.000,360.623.000,0,0,0,0,216.147.000,144.476.000,360.623.000,305
